Tahun,Jumlah Uang Beredar (jt),Surplus & Defisit (jt),Aset (jt),Giro Bank (jt),Pertumbuhan Ekonomi,Rasio Modal (%),Penghasilan (jt),Kurs (USD)
2023,1101766428,312174621,3876743559,650276821,5.05,9.1,189873003,15439
2022,1026501006,275865427,3780041390,753631761,5.31,8.03,121708254,15592
2021,959829854,254102617,3481925116,490194341,5.02,8.2,96385359,14278
2020,898887004,234927074,3044834809,305028493,2.19,8.64,87005277,14105
2019,793742924,230123456,2351331998,406335957,5.1,11.1,91803593,13901
2018,749183201,226864889,2285655456,417622296,5.17,11.62,105869251,14481
2017,694844759,178848918,2196278482,386238636,5.07,9.31,52452723,13548
2016,612557609,175272122,1955850192,369392400,5.02,10.1,60509678,13436
2015,586775262,176351174,1906193817,392784697,4.79,11.2,121181386,13795
2014,528549571,115025697,1812788971,362383166,5,7.76,93100472,12440
2013,500030818,119263654,1648675453,322527545,5,5.87,71113428,12189
2012,439730814,166468468,1519526148,290364048,5,3.14,40035595,9670